Attribute|Class|Title|Formula|Explanation|Reference
Investigadores|Comision|Investigadores|||
Posdoctorales|Comision|Posdoctorales|||
Tecnicos|Comision|Técnicos|||
Estancia corta|Periodo|Estancia corta||Estancias sabáticas, visitas, posdoctorados de uno o dos años.|
Periodo 1|Periodo|Periodo 1||1988-1995|
Periodo 2|Periodo|Periodo 2||1996-2010|
Periodo 3|Periodo|Periodo 3||2011-2025|
