Attribute|Class|Title|Formula|Explanation|Reference
Postdoctoral|Comision|Postdoctoral|||
Researcher|Comision|Researcher|||
Technician|Comision|Technician|||
1st period|Periodo|1st period||1988-1995|
2nd period|Periodo|2nd period||1996-2010|
3rd period|Periodo|3rd period||2011-2025|
Short stay|Periodo|Short visit||Sabatical stays, short visits, short posdoctorates|
