object_id|attribute_id|context_id
1001|2088|3004
1001|2085|3004
1002|2088|3004
1002|2084|3004
1002|2089|3004
1003|2086|3004
1003|2085|3004
1004|2087|3004
1004|2085|3004
1004|2089|3004
1005|2086|3004
1005|2085|3004
1006|2086|3004
1006|2085|3004
1006|2089|3004
1007|2088|3004
1007|2083|3004
1007|2089|3004
1008|2088|3004
1008|2085|3004
1009|2088|3004
1009|2083|3004
1010|2088|3004
1010|2083|3004
1010|2084|3004
1011|2086|3004
1011|2085|3004
1012|2088|3004
1013|2087|3004
1013|2085|3004
1014|2087|3004
1014|2083|3004
1015|2088|3004
1015|2084|3004
1016|2088|3004
1016|2083|3004
1017|2087|3004
1017|2085|3004
1018|2086|3004
1018|2085|3004
1019|2087|3004
1019|2085|3004
1019|2089|3004
1020|2088|3004
1020|2085|3004
1021|2088|3004
1021|2085|3004
1022|2087|3004
1022|2085|3004
1022|2089|3004
1023|2088|3004
1023|2083|3004
1023|2089|3004
1024|2087|3004
1024|2084|3004
1025|2087|3004
1025|2083|3004
1025|2089|3004
1026|2087|3004
1026|2085|3004
1027|2088|3004
1027|2085|3004
1028|2087|3004
1028|2083|3004
1028|2084|3004
1028|2085|3004
1029|2086|3004
1029|2085|3004
1029|2089|3004
1030|2087|3004
1030|2085|3004
1031|2088|3004
1031|2084|3004
1032|2087|3004
1032|2084|3004
1033|2088|3004
1033|2085|3004
1034|2088|3004
1034|2083|3004
1034|2089|3004
1036|2088|3004
1036|2083|3004
1036|2084|3004
1036|2085|3004
1037|2087|3004
1037|2083|3004
1038|2087|3004
1038|2083|3004
1038|2084|3004
1038|2085|3004
1039|2088|3004
1039|2083|3004
1039|2084|3004
1040|2087|3004
1040|2083|3004
1040|2084|3004
1040|2085|3004
1041|2088|3004
1041|2083|3004
1042|2086|3004
1042|2085|3004
1042|2089|3004
1043|2088|3004
1043|2083|3004
1044|2088|3004
1044|2083|3004
1044|2089|3004
1045|2086|3004
1045|2085|3004
1046|2087|3004
1046|2083|3004
1046|2084|3004
1048|2088|3004
1048|2083|3004
1048|2084|3004
1049|2088|3004
1049|2083|3004
1049|2084|3004
1050|2086|3004
1050|2085|3004
1050|2089|3004
1051|2088|3004
1051|2085|3004
1051|2089|3004
1052|2088|3004
1052|2083|3004
1052|2089|3004
1053|2087|3004
1053|2084|3004
1053|2089|3004
1054|2088|3004
1054|2084|3004
1054|2085|3004
1055|2087|3004
1055|2083|3004
1056|2088|3004
1056|2083|3004
1057|2086|3004
1057|2085|3004
1058|2088|3004
1058|2083|3004
1058|2089|3004
1059|2086|3004
1059|2084|3004
1059|2089|3004
1060|2088|3004
1060|2083|3004
1060|2089|3004
1061|2087|3004
1061|2083|3004
1061|2084|3004
1061|2085|3004
1062|2087|3004
1062|2085|3004
