object_id|context_id
1001|3004
1002|3004
1003|3004
1004|3004
1005|3004
1006|3004
1007|3004
1008|3004
1009|3004
1010|3004
1011|3004
1012|3004
1013|3004
1014|3004
1015|3004
1016|3004
1017|3004
1018|3004
1019|3004
1020|3004
1021|3004
1022|3004
1023|3004
1024|3004
1025|3004
1026|3004
1027|3004
1028|3004
1029|3004
1030|3004
1031|3004
1032|3004
1033|3004
1034|3004
1036|3004
1037|3004
1038|3004
1039|3004
1040|3004
1041|3004
1042|3004
1043|3004
1044|3004
1045|3004
1046|3004
1048|3004
1049|3004
1050|3004
1051|3004
1052|3004
1053|3004
1054|3004
1055|3004
1056|3004
1057|3004
1058|3004
1059|3004
1060|3004
1061|3004
1062|3004
1001|3005
1003|3005
1005|3005
1008|3005
1011|3005
1013|3005
1017|3005
1018|3005
1020|3005
1026|3005
1027|3005
1036|3005
1040|3005
1042|3005
1045|3005
1050|3005
1054|3005
1057|3005
1061|3005
1062|3005
1001|3002
1003|3002
1005|3002
1008|3002
1011|3002
1013|3002
1017|3002
1018|3002
1020|3002
1026|3002
1027|3002
1036|3002
1040|3002
1042|3002
1045|3002
1050|3002
1054|3002
1057|3002
1061|3002
1062|3002
1003|3003
1005|3003
1011|3003
1013|3003
1017|3003
1018|3003
1026|3003
1040|3003
1042|3003
1045|3003
1050|3003
1057|3003
1061|3003
1062|3003
1001|3001
1003|3001
1005|3001
1008|3001
1011|3001
1013|3001
1017|3001
1018|3001
1020|3001
1036|3001
1026|3001
1027|3001
1040|3001
1042|3001
1045|3001
1050|3001
1054|3001
1057|3001
1061|3001
1062|3001
